iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
72,0.0,0.09076474606990814,746651300,10.27,8.5,12.8,940985200.0
73,0.0,0.16721025109291077,756879400,10.27,8.5,12.8,940985200.0
74,0.0,0.07960976660251617,767107500,10.27,8.5,12.8,940985200.0
75,0.0,0.15648894011974335,777335600,10.27,8.5,12.8,940985200.0
76,0.0,0.08701310306787491,787563700,10.27,8.5,12.8,940985200.0
77,0.0,0.1481688916683197,797791800,10.27,8.5,12.8,940985200.0
78,0.0,0.10009407252073288,808019900,10.27,8.5,12.8,940985200.0
79,0.0,0.15877315402030945,818248000,10.27,8.5,12.8,940985200.0
80,0.0,0.0932542234659195,828476100,10.27,8.5,12.8,940985200.0
81,0.0,0.14673952758312225,838704200,10.27,8.5,12.8,940985200.0
