iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
103,0.0,0.00017544868751429021,586559300,16.255000000000003,8.6,17.7,654153700.0
104,0.0,0.00022563633683603257,592340400,16.255000000000003,8.6,17.7,654153700.0
105,0.0,0.00024550073430873454,598032560,16.255000000000003,8.6,17.7,654153700.0
106,0.0,0.00032839475898072124,603724720,16.255000000000003,8.6,17.7,654153700.0
107,0.0,0.00037657679058611393,609416880,16.255000000000003,8.6,17.7,654153700.0
108,0.0,0.0003857720585074276,615109040,16.255000000000003,8.6,17.7,654153700.0
109,0.0,0.0004695432726293802,620801200,16.255000000000003,8.6,17.7,654153700.0
110,0.0,0.0003769502218347043,627471700,16.255000000000003,8.6,17.7,654153700.0
111,0.0,0.00032641482539474964,634142200,16.255000000000003,8.6,17.7,654153700.0
112,0.0,0.0004337597347330302,640812700,16.255000000000003,8.6,17.7,654153700.0
113,0.0,0.00041909562423825264,647483200,16.255000000000003,8.6,17.7,654153700.0
114,0.0,0.0005335001042112708,654153700,23.315000000000005,17.299999999999997,27.6,791654940.0
115,0.0,0.00038216181565076113,660023740,23.315000000000005,17.299999999999997,27.6,791654940.0
116,0.0,0.0005508234607987106,665893780,23.315000000000005,17.299999999999997,27.6,791654940.0
117,0.0,0.0007383459014818072,671763820,23.315000000000005,17.299999999999997,27.6,791654940.0
118,0.0,0.000916608318220824,677633860,23.315000000000005,17.299999999999997,27.6,791654940.0
119,0.0,0.001096369232982397,683503900,23.315000000000005,17.299999999999997,27.6,791654940.0
120,0.0,0.001105029252357781,689907580,23.315000000000005,17.299999999999997,27.6,791654940.0
121,0.0,0.0013023908250033855,696311260,23.315000000000005,17.299999999999997,27.6,791654940.0
122,0.0,0.0015876777470111847,702714940,23.315000000000005,17.299999999999997,27.6,791654940.0
123,0.0,0.0020288124214857817,709118620,23.315000000000005,17.299999999999997,27.6,791654940.0
124,0.0,0.0023166025057435036,715522300,23.315000000000005,17.299999999999997,27.6,791654940.0
125,0.0,0.0024276217445731163,721125520,23.315000000000005,17.299999999999997,27.6,791654940.0
126,0.0,0.0022087779361754656,726728740,23.315000000000005,17.299999999999997,27.6,791654940.0
127,0.0,0.0023964932188391685,732331960,23.315000000000005,17.299999999999997,27.6,791654940.0
128,0.0,0.002770068123936653,737935180,23.315000000000005,17.299999999999997,27.6,791654940.0
129,0.0,0.0033383932895958424,743538400,23.315000000000005,17.299999999999997,27.6,791654940.0
130,0.0,0.002597715938463807,749586320,23.315000000000005,17.299999999999997,27.6,791654940.0
131,0.0,0.0033265643287450075,755634240,23.315000000000005,17.299999999999997,27.6,791654940.0
132,0.0,0.004004690330475569,761682160,23.315000000000005,17.299999999999997,27.6,791654940.0
133,0.0,0.004809798207134008,767730080,23.315000000000005,17.299999999999997,27.6,791654940.0
134,0.0,0.005994386039674282,773778000,23.315000000000005,17.299999999999997,27.6,791654940.0
135,0.0,0.005301627796143293,779736980,23.315000000000005,17.299999999999997,27.6,791654940.0
136,0.0,0.006226469296962023,785695960,23.315000000000005,17.299999999999997,27.6,791654940.0
137,0.0,0.006295885890722275,791654940,35.33,19.5,41.6,938761700.0
138,0.0,0.007416758220642805,797613920,35.33,19.5,41.6,938761700.0
139,0.0,0.007154741324484348,803572900,35.33,19.5,41.6,938761700.0
140,0.0,0.004702863283455372,810154460,35.33,19.5,41.6,938761700.0
141,0.0,0.005126559641212225,816736020,35.33,19.5,41.6,938761700.0
142,0.0,0.004306066781282425,823317580,35.33,19.5,41.6,938761700.0
143,0.0,0.004739490803331137,829899140,35.33,19.5,41.6,938761700.0
144,0.0,0.005574597045779228,836480700,35.33,19.5,41.6,938761700.0
145,0.0,0.0063314288854599,842706500,35.33,19.5,41.6,938761700.0
146,0.0,0.007684915792196989,848932300,35.33,19.5,41.6,938761700.0
147,0.0,0.01020007859915495,855158100,35.33,19.5,41.6,938761700.0
148,0.0,0.012174646370112896,861383900,35.33,19.5,41.6,938761700.0
149,0.0,0.016789836809039116,867609700,35.33,19.5,41.6,938761700.0
150,0.0,0.012701953761279583,874013380,35.33,19.5,41.6,938761700.0
151,0.0,0.015112794935703278,880417060,35.33,19.5,41.6,938761700.0
152,0.0,0.015261824242770672,886820740,35.33,19.5,41.6,938761700.0
153,0.0,0.014952977187931538,893224420,35.33,19.5,41.6,938761700.0
154,0.0,0.019664593040943146,899628100,35.33,19.5,41.6,938761700.0
155,0.0,0.015947822481393814,906298600,35.33,19.5,41.6,938761700.0
156,0.0,0.023586956784129143,912969100,35.33,19.5,41.6,938761700.0
157,0.0,0.026802921667695045,919639600,35.33,19.5,41.6,938761700.0
158,0.0,0.03432901203632355,926310100,35.33,19.5,41.6,938761700.0
159,0.0,0.03463108465075493,932980600,35.33,19.5,41.6,938761700.0
160,0.0,0.0270136296749115,938761700,40.519999999999996,24.5,50.3,1080265240.0
161,0.0,0.038299329578876495,944542800,40.519999999999996,24.5,50.3,1080265240.0
162,0.0,0.03443586453795433,950323900,40.519999999999996,24.5,50.3,1080265240.0
163,0.0,0.03940444812178612,956105000,40.519999999999996,24.5,50.3,1080265240.0
164,0.0,0.04127006605267525,961886100,40.519999999999996,24.5,50.3,1080265240.0
165,0.0,0.037428464740514755,967756140,40.519999999999996,24.5,50.3,1080265240.0
166,0.0,0.05789899453520775,973626180,40.519999999999996,24.5,50.3,1080265240.0
167,0.0,0.05069217085838318,979496220,40.519999999999996,24.5,50.3,1080265240.0
168,0.0,0.07741273194551468,985366260,40.519999999999996,24.5,50.3,1080265240.0
169,0.0,0.05986461043357849,991236300,40.519999999999996,24.5,50.3,1080265240.0
170,0.0,0.04498964920639992,997551040,40.519999999999996,24.5,50.3,1080265240.0
171,0.0,0.05114530399441719,1003865780,40.519999999999996,24.5,50.3,1080265240.0
172,0.0,0.05497114732861519,1010180520,40.519999999999996,24.5,50.3,1080265240.0
173,0.0,0.06513852626085281,1016495260,40.519999999999996,24.5,50.3,1080265240.0
174,0.0,0.07608696818351746,1022810000,40.519999999999996,24.5,50.3,1080265240.0
175,0.0,0.043532874435186386,1029035800,40.519999999999996,24.5,50.3,1080265240.0
176,0.0,0.036187510937452316,1035261600,40.519999999999996,24.5,50.3,1080265240.0
177,0.0,0.05670023709535599,1041487400,40.519999999999996,24.5,50.3,1080265240.0
178,0.0,0.04760652408003807,1047713200,40.519999999999996,24.5,50.3,1080265240.0
179,0.0,0.059613581746816635,1053939000,40.519999999999996,24.5,50.3,1080265240.0
180,0.0,0.03836439922451973,1060520560,40.519999999999996,24.5,50.3,1080265240.0
181,0.0,0.0702449306845665,1067102120,40.519999999999996,24.5,50.3,1080265240.0
182,0.0,0.06637614965438843,1073683680,40.519999999999996,24.5,50.3,1080265240.0
183,0.0,0.06753329187631607,1080265240,45.834999999999994,35.6,52.400000000000006,1223280760.0
184,0.0,0.06508802622556686,1086846800,45.834999999999994,35.6,52.400000000000006,1223280760.0
185,0.0,0.04353178292512894,1093339420,45.834999999999994,35.6,52.400000000000006,1223280760.0
